iter	Passed	Remaining
750	2568	851
751	2574	848
752	2576	845
753	2578	841
754	2579	837
755	2581	833
756	2583	829
757	2591	827
758	2593	823
759	2594	819
760	2598	815
761	2599	811
762	2601	808
763	2603	804
764	2605	800
765	2606	796
766	2610	792
767	2612	789
768	2614	785
769	2616	781
770	2619	777
771	2624	775
772	2626	771
773	2628	767
774	2630	763
775	2633	760
776	2635	756
777	2639	753
778	2641	749
779	2643	745
780	2644	741
781	2646	737
782	2648	733
783	2649	730
784	2653	726
785	2655	723
786	2657	719
787	2659	715
788	2660	711
789	2662	707
790	2663	703
791	2665	699
792	2669	696
793	2671	693
794	2672	689
795	2674	685
796	2676	681
797	2677	677
798	2680	674
799	2684	671
800	2686	667
801	2688	663
802	2690	659
803	2693	656
804	2695	652
805	2696	649
806	2702	646
807	2704	642
808	2707	639
809	2716	637
810	2721	634
811	2723	630
812	2725	626
813	2737	625
814	2740	622
815	2745	619
816	2747	615
817	2755	613
818	2760	610
819	2762	606
820	2764	602
821	2774	600
822	2780	597
823	2781	594
824	2784	590
825	2788	587
826	2790	583
827	2793	580
828	2795	576
829	2799	573
830	2801	569
831	2806	566
832	2808	562
833	2811	559
834	2814	556
835	2819	553
836	2821	549
837	2823	545
838	2825	542
839	2839	540
840	2841	537
841	2843	533
842	2850	530
843	2852	527
844	2854	523
845	2855	519
846	2857	516
847	2859	512
848	2860	508
849	2866	505
850	2868	502
851	2870	498
852	2871	494
853	2873	491
854	2874	487
855	2876	483
856	2878	480
857	2880	476
858	2881	472
859	2883	469
860	2884	465
861	2886	462
862	2887	458
863	2893	455
864	2895	451
865	2896	448
866	2897	444
867	2899	440
868	2900	437
869	2901	433
870	2903	429
871	2908	426
872	2909	423
873	2911	419
874	2912	416
875	2914	412
876	2915	408
877	2917	405
878	2918	401
879	2923	398
880	2925	395
881	2927	391
882	2928	388
883	2934	385
884	2936	381
885	2937	377
886	2938	374
887	2940	370
888	2942	367
889	2943	363
890	2944	360
891	2950	357
892	2951	353
893	2953	350
894	2954	346
895	2956	343
896	2957	339
897	2958	336
898	2960	332
899	2965	329
900	2966	325
901	2968	322
902	2969	318
903	2971	315
904	2972	312
905	2973	308
906	2980	305
907	2982	302
908	2984	298
909	2986	295
910	2987	291
911	2989	288
912	2994	285
913	2996	281
914	2997	278
915	2999	275
916	3000	271
917	3005	268
918	3011	265
919	3013	262
920	3014	258
921	3017	255
922	3019	251
923	3020	248
924	3026	245
925	3027	241
926	3029	238
927	3030	235
928	3032	231
929	3033	228
930	3035	224
931	3036	221
932	3041	218
933	3043	215
934	3045	211
935	3046	208
936	3047	204
937	3049	201
938	3050	198
939	3052	194
940	3054	191
941	3056	188
942	3057	184
943	3059	181
944	3060	178
945	3061	174
946	3063	171
947	3068	168
948	3069	164
949	3071	161
950	3072	158
951	3074	154
952	3075	151
953	3077	148
954	3078	145
955	3079	141
956	3083	138
957	3084	135
958	3085	131
959	3087	128
960	3088	125
961	3090	122
962	3091	118
963	3092	115
964	3099	112
965	3100	109
966	3102	105
967	3106	102
968	3107	99
969	3114	96
970	3115	93
971	3117	89
972	3119	86
973	3120	83
974	3121	80
975	3122	76
976	3124	73
977	3125	70
978	3133	67
979	3134	63
980	3139	60
981	3141	57
982	3142	54
983	3143	51
984	3144	47
985	3146	44
986	3147	41
987	3148	38
988	3150	35
989	3154	31
990	3156	28
991	3157	25
992	3158	22
993	3159	19
994	3161	15
995	3162	12
996	3163	9
997	3165	6
998	3166	3
999	3167	0
